ticker,snapshot_date,market_cap,beta,open_price,high,low,close_price,adjusted_close,volume,ema_50d,ema_200d,hi_250d,lo_250d,avgvol_14d,avgvol_50d,avgvol_200d
AAL,2025-05-07,101738736,0.0,0.39,0.39,0.39,0.39,0.39,90000,0.394,0.334,0.0,0.0,65095.1,80326.4,134885.0
AAL,2025-05-08,101738736,0.0,0.39,0.39,0.39,0.39,0.39,181,0.393,0.334,0.0,0.0,56712.4,75819.4,134316.0
AAL,2025-05-09,101738736,0.0,0.39,0.395,0.38,0.395,0.395,133185,0.393,0.335,0.0,0.0,62342.2,77808.8,133205.0
ACF,2025-05-05,311034560,0.291,1.06,1.06,1.03,1.03,1.03,115112,1.042,1.033,1.148,0.885,466970.0,578762.0,484499.0
ACF,2025-05-06,311034560,0.291,1.05,1.05,1.035,1.04,1.04,68014,1.042,1.033,1.148,0.885,459212.0,578915.0,484134.0
ACF,2025-05-07,311034560,0.291,1.05,1.055,1.035,1.055,1.055,152445,1.042,1.034,1.148,0.885,440941.0,577928.0,483265.0
ACF,2025-05-08,311034560,0.291,1.06,1.06,1.04,1.045,1.045,339948,1.042,1.034,1.148,0.885,435867.0,583309.0,483111.0
ACF,2025-05-09,311034560,0.291,1.045,1.05,1.035,1.035,1.035,137889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJL,2025-05-05,8254380,-0.8,0.006,0.006,0.006,0.006,0.006,0,0.007,0.009,0.012,0.004,1246340.0,1091700.0,637612.0
AJL,2025-05-06,8254380,-0.8,0.006,0.006,0.006,0.006,0.006,0,0.007,0.009,0.012,0.004,1228970.0,1091700.0,637294.0
AJL,2025-05-07,8254380,-0.8,0.005,0.007,0.005,0.007,0.007,2293101,0.007,0.009,0.012,0.004,1237260.0,1137560.0,646373.0
AJL,2025-05-08,8254380,-0.8,0.006,0.007,0.006,0.007,0.007,556812,0.007,0.009,0.012,0.004,1277030.0,1141390.0,649136.0
AJL,2025-05-09,8254380,-0.8,0.007,0.007,0.007,0.007,0.007,0,0.007,0.009,0.012,0.004,953582.0,1131370.0,649030.0
AL3,2025-05-05,83349856,0.833,0.145,0.15,0.14,0.15,0.15,317990,0.147,0.141,0.245,0.056,1012780.0,1311900.0,2427960.0
AL3,2025-05-06,83349856,0.833,0.15,0.155,0.15,0.155,0.155,535056,0.147,0.141,0.245,0.056,1022020.0,1307920.0,2418460.0
AL3,2025-05-07,83349856,0.833,0.155,0.155,0.145,0.15,0.15,679762,0.147,0.141,0.245,0.056,1007050.0,1309480.0,2405960.0
AL3,2025-05-08,83349856,0.833,0.145,0.15,0.145,0.1475,0.1475,218735,0.147,0.141,0.245,0.056,974413.0,1306380.0,2381260.0
AL3,2025-05-09,83349856,0.833,0.15,0.155,0.1475,0.1475,0.1475,417070,0.0,0.0,0.0,0.0,0.0,0.0,0.0
