document_id,shareholder_name,event_date,present_votes,present_power,number_of_securities,ticker,event_type,previous_votes,previous_power,present_votes_affected,number_of_securities_affected
2024111802881955,PLATYPUS ASSET MANAGEMENT,2024-11-18,5538634.0,5.34,,IPG,new,,,,
2024112202884166,VANGUARD GROUP,2024-11-22,13315278.0,5.021,13315278.0,GWA,new,,,,
2024112202884664,IDA PRATIGNJO LAU,2024-11-22,11807256.0,8.16,11807256.0,BMH,new,,,,
2024112502885147,RAYMOND DANDO,2024-11-25,36714891.0,15.55,36714891.0,SYL,new,,,,
2024112502885146,JOSEPH BARTOLO,2024-11-25,73429782.0,31.02,73429782.0,SYL,new,,,,
2024112502885143,ANDREW FAIRBAIRN,2024-11-25,36714891.0,15.55,36714891.0,SYL,new,,,,
2024112602886013,COMMONWEALTH BANK OF AUSTRALIA,2024-11-26,8758942.0,6.0,,OEC,change,10269805.0,7.03,,
2024112602885951,SUPPERANNUATION AND INVESTMENTS HOLDCO PTY LTD,2024-11-26,8758942.0,6.0,,OEC,change,10269805.0,7.03,,
2024112602885995,JOHN DARRYL DRAYTON,2024-11-26,10121984.0,12.12,,SHA,change,11313938.0,13.59,,
2024120402890295,TIMOTHY BURNETT,2024-12-04,9016600.0,7.66,,SND,change,10545869.0,8.96,,
2024120402890415,GREENCAPE CAPITAL PTY LTD,2024-12-04,5312843.0,5.12,,IPG,new,,,,
2024120402890445,CHALLENGER LIMITED (AND ITS ENTITIES LISTED IN ANNEXURE 2),2024-12-04,5312843.0,5.12,,IPG,new,,,,
2024120502890788,['WESLEY JON MAAS AND EMMA MARGARET MAAS',2024-12-05,0.0,0.0,,MGH,change,0.0,0.0,,
2024120502891071,FIRSTCAPE GROUP LIMITED,2024-12-05,49429531.0,5.114,,IFT,change,51108221.0,6.138,,
2024120602891529,GERARD MCMAHON,2024-12-06,7298115.0,8.74,,SHA,change,8442173.0,10.1,,
2024120902892304,GREG JINKS,2024-12-09,14552692.0,12.99,,SKS,change,7019167.0,10.81,,
2024121002892765,STEPHEN MCDONALD,2024-12-10,4815864.0,5.77,,SHA,change,5818297.0,6.99,,
2024121202893792,"LIND GLOBAL FUND II LP (""LGF II"") AND THE LIND PARTNERS LLC (TOGETHER ""LIND"")",2024-12-12,17291801.0,6.22,,14D,change,20000000.0,7.24,,
2024121202894083,BRIAN O'SULLIVAN,2024-12-12,64278471.0,22.14,,VBC,change,72420779.0,24.95,,
2024121602894845,UIL LIMITED,2024-12-16,54312449.0,33.05,,OEC,change,45287679.0,31.06,,
2024121702895862,BONEYARD INVESTMENTS PTY LTD,2024-12-17,28439941.0,17.36,,OEC,change,22385925.0,16.13,,
2024121802896361,AWARE SUPER PTY LTD AS TRUSTEE OF AWARE SUPER,2024-12-18,45118092.0,5.27,45118092.0,VNT,new,,,,
