ticker,shareholder_name,event_date,source,Latest_Holdings,Latest_Percentage
VNT,['AWARE SUPER PTY LTD AS TRUSTEE OF AWARE SUPER',15/04/2025,cease,,
VNT,REGAL FUNDS MANAGEMENT PTY LTD AND ITS ASSOCIATES,6/02/2024,cease,,
VNT,NORTHCAPE CAPITAL PTY LTD,30/04/2025,cease,,
VNT,BLACKROCK GROUP,29/05/2024,new,43126842,5.04
VNT,VERITAS SERVICES GROUP LIMITED,7/04/2025,change,5090254,646
VNT,VANGUARD GROUP,30/12/2024,change,51408461,6.009
WOR,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 6 TO THIS FORM,4/10/2024,change,32271920,6.121
WOR,DAR AL-HANDASAH CONSULTANTS SHAIR AND PARTNERS HOLDINGS LTD,2/05/2024,cease,,
WOR,['CITIGROUP GLOBAL MARKETS INC',2/05/2024,cease,,
WOR,['THE GOLDMAN SACHS GROUP INC',6/05/2024,cease,,
WOR,CITIGROUP GLOBAL MARKETS AUSTRALIA PTY LIMITED,1/05/2024,new,100584829,19.0934
WOR,L1 CAPITAL PTY LTD AND EACH OF THE ENTITIES SET OUT IN ANNEXURE A,6/05/2024,new,26851222,5.1
WOR,L1 CAPITAL PTY LTD AND L1 CAPITAL STRATEGIC EQUITY MANAGEMENT PTY LTD,14/05/2024,cease,,
WOR,['T. ROWE PRICE ASSOCIATES,15/04/2025,cease,,
WOR,STATE STREET CORPORATION,20/08/2024,change,26501854,5.04
WOR,VANGUARD GROUP,26/09/2024,new,26765760,5.065
XRF,MICHAEL KARL KORBER,25/02/2025,change,8611321,6.13
ZGL,SIM JUAT KOON,3/10/2024,change,12248474,5.71
ZGL,GIOK LAK SIM,2/05/2025,change,108178162,50.42
