,Ticker,Company,Sector
267,BAS,BASS OIL LIMITED,Energy
268,BMO,BASTION MINERALS LIMITED,Materials
269,BRL,BATHURST RESOURCES LIMITED.,Materials
270,BM8,BATTERY AGE MINERALS LTD,Materials
271,BMH,BAUMART HOLDINGS LIMITED,Capital Goods
272,BMM,BAYAN MINING AND MINERALS LIMITED,Materials
273,BDX,BCAL DIAGNOSTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
274,BCI,BCI MINERALS LIMITED,Materials
275,BPT,BEACH ENERGY LIMITED,Energy
276,BLX,BEACON LIGHTING GROUP LIMITED,Consumer Discretionary Distribution & Retail
277,BCN,BEACON MINERALS LIMITED,Materials
278,BCC,BEAM COMMUNICATIONS HOLDINGS LIMITED,Technology Hardware & Equipment
279,BMT,BEAMTREE HOLDINGS LIMITED,Health Care Equipment & Services
280,B4P,BEFOREPAY GROUP LIMITED,Financial Services
281,BGA,BEGA CHEESE LIMITED,"Food, Beverage & Tobacco"
282,BRX,BELARAROX LIMITED,Materials
283,BFG,BELL FINANCIAL GROUP LIMITED,Financial Services
284,BVR,BELLAVISTA RESOURCES LTD,Materials
285,BGL,BELLEVUE GOLD LIMITED,Materials
286,BEN,BENDIGO AND ADELAIDE BANK LIMITED,Banks
287,BHD,BENJAMIN HORNIGOLD LIMITED,Not Applic
288,BEL,BENTLEY CAPITAL LIMITED,Not Applic
289,BNZ,BENZ MINING CORP.,Materials
290,BEO,BEONIC LTD,Software & Services
291,BKY,BERKELEY ENERGIA LIMITED,Energy
292,BEZ,BESRA GOLD INC.,Materials
293,BFC,BESTON GLOBAL FOOD COMPANY LIMITED,"Food, Beverage & Tobacco"
294,BET,BETMAKERS TECHNOLOGY GROUP LTD,Consumer Services
295,BBT,BETR ENTERTAINMENT LIMITED,Consumer Services
296,BWN,BHAGWAN MARINE LIMITED,Transportation
297,BHP,BHP GROUP LIMITED,Materials
298,BRI,BIG RIVER INDUSTRIES LIMITED,Materials
299,BIM,BINDI METALS LIMITED,Materials
300,BGT,BIO-GENE TECHNOLOGY LTD,Materials
301,BIO,BIOME AUSTRALIA LIMITED,Household & Personal Products
302,BIT,BIOTRON LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
303,BXN,BIOXYNE LIMITED,Household & Personal Products
304,BDT,BIRDDOG TECHNOLOGY LIMITED,Technology Hardware & Equipment
305,BIS,BISALLOY STEEL GROUP LIMITED,Materials
306,BKI,BKI INVESTMENT COMPANY LIMITED,Not Applic
307,BCA,BLACK CANYON LIMITED,Materials
308,BC8,BLACK CAT SYNDICATE LIMITED,Materials
309,BDG,BLACK DRAGON GOLD CORP.,Materials
310,BKT,BLACK ROCK MINING LIMITED,Materials
